District,Date,PCPO,OLP,NDP,GPO
Markham Unionville,2022-05-16,50%,32%,8%,6%
Markham Unionville,2022-05-16,51%,32%,8%,5%
Markham Unionville,2022-05-17,51%,32%,8%,5%
Markham Unionville,2022-05-17,52%,32%,8%,5%
Markham Unionville,2022-05-18,49%,34%,8%,5%
Markham Unionville,2022-05-18,52%,32%,8%,5%
Markham Unionville,2022-05-19,54%,30%,8%,5%
Markham Unionville,2022-05-19,53%,33%,8%,5%
Markham Unionville,2022-05-20,52%,33%,8%,5%
Markham Unionville,2022-05-20,50%,36%,7%,5%
Markham Unionville,2022-05-21,52%,34%,7%,5%
Markham Unionville,2022-05-21,53%,33%,7%,5%
Markham Unionville,2022-05-22,53%,32%,7%,5%
Markham Unionville,2022-05-22,55%,31%,7%,5%
Markham Unionville,2022-05-23,56%,30%,7%,5%
Markham Unionville,2022-05-23,55%,31%,7%,5%
Oshawa,2022-05-01,41%,10%,39%,5%
Oshawa,2022-09-01,43%,14%,31%,5%
Oshawa,2023-01-01,42%,14%,32%,5%
Oshawa,2023-05-01,43%,14%,31%,5%
Oshawa,2023-09-01,44%,14%,30%,5%
Oshawa,2024-01-01,42%,11%,35%,5%
Oshawa,2024-05-01,42%,11%,36%,5%
Oshawa,2024-09-01,42%,11%,35%,5%
Oshawa,2025-01-01,42%,12%,35%,5%
Oshawa,2025-05-01,42%,12%,35%,5%
Oshawa,2022-04-30,43%,11%,34%,5%
Oshawa,2022-04-30,43%,11%,34%,5%
Oshawa,2022-05-03,43%,11%,34%,5%
Oshawa,2022-05-03,45%,12%,35%,5%
Oshawa,2022-05-04,45%,12%,35%,5%
Oshawa,2022-05-04,44%,12%,35%,5%
Oshawa,2022-05-05,44%,15%,33%,5%
Oshawa,2022-05-05,44%,15%,33%,5%
Oshawa,2022-05-06,43%,14%,32%,7%
Oshawa,2022-05-06,42%,14%,33%,7%
Oshawa,2022-05-07,42%,14%,33%,7%
Oshawa,2022-05-07,42%,14%,33%,8%
Oshawa,2022-05-08,40%,14%,34%,8%
Oshawa,2022-05-08,40%,14%,34%,8%
Oshawa,2022-05-09,40%,14%,34%,7%
Oshawa,2022-05-09,40%,14%,34%,8%
Oshawa,2022-05-10,39%,14%,36%,7%
Oshawa,2022-05-10,40%,14%,35%,7%
Oshawa,2022-05-11,40%,14%,35%,7%
Oshawa,2022-05-11,40%,14%,35%,7%
Oshawa,2022-05-12,40%,14%,35%,7%
Oshawa,2022-05-12,41%,13%,34%,7%
Oshawa,2022-05-13,40%,9%,42%,4%
Oshawa,2022-05-13,40%,9%,43%,4%
Oshawa,2022-05-14,41%,10%,40%,5%
Oshawa,2022-05-14,41%,10%,40%,5%
Oshawa,2022-05-15,41%,10%,40%,5%
Oshawa,2022-05-15,40%,9%,41%,5%
Oshawa,2022-05-16,36%,9%,43%,6%
Oshawa,2022-05-16,36%,10%,43%,6%
Oshawa,2022-05-17,37%,9%,43%,6%
Oshawa,2022-05-17,38%,9%,42%,6%
Oshawa,2022-05-18,35%,10%,44%,6%
Oshawa,2022-05-18,37%,9%,43%,5%
Oshawa,2022-05-19,40%,9%,42%,5%
Oshawa,2022-05-19,39%,10%,42%,5%
Oshawa,2022-05-20,39%,10%,42%,5%
Oshawa,2022-05-20,38%,12%,42%,5%
Oshawa,2022-05-21,40%,11%,40%,5%
Oshawa,2022-05-21,40%,11%,41%,5%
Oshawa,2022-05-22,40%,11%,40%,5%
Oshawa,2022-05-22,41%,10%,40%,5%
Oshawa,2022-05-23,43%,10%,38%,5%
Oshawa,2022-05-23,41%,10%,39%,5%
Eglinton Lawrence,2022-05-01,42%,42%,8%,5%
Eglinton Lawrence,2022-09-01,37%,43%,14%,2%
Eglinton Lawrence,2023-01-01,36%,43%,14%,2%
Eglinton Lawrence,2023-05-01,38%,42%,14%,2%
Eglinton Lawrence,2023-09-01,38%,42%,14%,2%
Eglinton Lawrence,2024-01-01,38%,42%,14%,2%
Eglinton Lawrence,2024-05-01,38%,42%,14%,2%
Eglinton Lawrence,2024-09-01,38%,42%,14%,2%
Eglinton Lawrence,2025-01-01,38%,43%,14%,2%
Eglinton Lawrence,2025-05-01,38%,42%,14%,2%
Eglinton Lawrence,2022-04-30,39%,41%,14%,2%
Eglinton Lawrence,2022-04-30,39%,41%,14%,2%
Eglinton Lawrence,2022-05-03,39%,41%,13%,2%
Eglinton Lawrence,2022-05-03,39%,41%,13%,2%
Eglinton Lawrence,2022-05-04,39%,40%,13%,2%
Eglinton Lawrence,2022-05-04,38%,41%,13%,2%
Eglinton Lawrence,2022-05-05,38%,42%,13%,2%
Eglinton Lawrence,2022-05-05,38%,42%,12%,2%
Eglinton Lawrence,2022-05-06,38%,41%,12%,2%
Eglinton Lawrence,2022-05-06,38%,41%,13%,2%
Eglinton Lawrence,2022-05-07,38%,41%,13%,2%
Eglinton Lawrence,2022-05-07,38%,41%,13%,2%
Eglinton Lawrence,2022-05-08,38%,41%,13%,2%
Eglinton Lawrence,2022-05-08,38%,41%,13%,2%
Eglinton Lawrence,2022-05-09,38%,40%,13%,2%
Eglinton Lawrence,2022-05-09,38%,40%,13%,2%
Eglinton Lawrence,2022-05-10,38%,40%,13%,2%
Eglinton Lawrence,2022-05-10,39%,40%,12%,2%
Eglinton Lawrence,2022-05-11,39%,40%,12%,2%
Eglinton Lawrence,2022-05-11,39%,40%,12%,2%
Eglinton Lawrence,2022-05-12,39%,40%,12%,2%
Eglinton Lawrence,2022-05-12,39%,40%,12%,2%
Eglinton Lawrence,2022-05-13,43%,41%,10%,4%
Eglinton Lawrence,2022-05-13,42%,41%,10%,4%
Eglinton Lawrence,2022-05-14,42%,42%,9%,4%
Eglinton Lawrence,2022-05-14,41%,42%,9%,4%
Eglinton Lawrence,2022-05-15,41%,42%,9%,4%
Eglinton Lawrence,2022-05-15,42%,42%,9%,4%
Eglinton Lawrence,2022-05-16,38%,42%,10%,6%
Eglinton Lawrence,2022-05-16,38%,42%,10%,6%
Eglinton Lawrence,2022-05-17,39%,42%,10%,5%
Eglinton Lawrence,2022-05-17,40%,42%,10%,5%
Eglinton Lawrence,2022-05-18,37%,44%,10%,5%
Eglinton Lawrence,2022-05-18,39%,42%,10%,5%
Eglinton Lawrence,2022-05-19,42%,40%,10%,5%
Eglinton Lawrence,2022-05-19,40%,43%,10%,5%
Eglinton Lawrence,2022-05-20,40%,43%,9%,5%
Eglinton Lawrence,2022-05-20,35%,49%,9%,5%
Eglinton Lawrence,2022-05-21,39%,46%,8%,5%
Eglinton Lawrence,2022-05-21,40%,44%,9%,5%
Eglinton Lawrence,2022-05-22,41%,43%,9%,5%
Eglinton Lawrence,2022-05-22,42%,42%,9%,5%
Eglinton Lawrence,2022-05-23,43%,41%,8%,5%
Eglinton Lawrence,2022-05-23,42%,42%,8%,5%
Toronto Danforth,2022-05-01,14%,25%,50%,8%
Toronto Danforth,2022-09-01,15%,22%,52%,6%
Toronto Danforth,2023-01-01,14%,21%,52%,6%
Toronto Danforth,2023-05-01,15%,22%,51%,6%
Toronto Danforth,2023-09-01,15%,22%,51%,6%
Toronto Danforth,2024-01-01,15%,22%,51%,6%
Toronto Danforth,2024-05-01,15%,22%,51%,6%
Toronto Danforth,2024-09-01,14%,22%,52%,6%
Toronto Danforth,2025-01-01,15%,22%,51%,6%
Toronto Danforth,2025-05-01,14%,23%,51%,6%
Toronto Danforth,2022-04-30,15%,22%,51%,6%
Toronto Danforth,2022-04-30,15%,22%,51%,6%
Toronto Danforth,2022-05-03,15%,22%,51%,6%
Toronto Danforth,2022-05-03,15%,22%,50%,6%
Toronto Danforth,2022-05-04,15%,22%,50%,6%
Toronto Danforth,2022-05-04,15%,22%,50%,6%
Toronto Danforth,2022-05-05,14%,27%,46%,6%
Toronto Danforth,2022-05-05,14%,27%,45%,6%
Toronto Danforth,2022-05-06,14%,26%,45%,8%
Toronto Danforth,2022-05-06,14%,26%,45%,9%
Toronto Danforth,2022-05-07,14%,26%,45%,9%
Toronto Danforth,2022-05-07,14%,26%,45%,9%
Toronto Danforth,2022-05-08,14%,26%,45%,9%
Toronto Danforth,2022-05-08,14%,26%,45%,9%
Toronto Danforth,2022-05-09,14%,26%,44%,9%
Toronto Danforth,2022-05-09,14%,26%,44%,9%
Toronto Danforth,2022-05-10,15%,25%,44%,9%
Toronto Danforth,2022-05-10,15%,26%,43%,9%
Toronto Danforth,2022-05-11,15%,26%,43%,9%
Toronto Danforth,2022-05-11,15%,25%,45%,8%
Toronto Danforth,2022-05-12,15%,25%,45%,8%
Toronto Danforth,2022-05-12,16%,25%,44%,8%
Toronto Danforth,2022-05-13,13%,22%,55%,6%
Toronto Danforth,2022-05-13,13%,22%,56%,6%
Toronto Danforth,2022-05-14,14%,24%,53%,7%
Toronto Danforth,2022-05-14,13%,24%,52%,7%
Toronto Danforth,2022-05-15,14%,24%,53%,7%
Toronto Danforth,2022-05-15,13%,23%,54%,7%
Toronto Danforth,2022-05-16,11%,22%,55%,9%
Toronto Danforth,2022-05-16,11%,23%,55%,9%
Toronto Danforth,2022-05-17,12%,23%,55%,8%
Toronto Danforth,2022-05-17,12%,23%,54%,8%
Toronto Danforth,2022-05-18,11%,23%,55%,8%
Toronto Danforth,2022-05-18,12%,23%,55%,8%
Toronto Danforth,2022-05-19,13%,22%,55%,8%
Toronto Danforth,2022-05-19,12%,24%,54%,8%
Toronto Danforth,2022-05-20,12%,25%,53%,8%
Toronto Danforth,2022-05-20,11%,28%,51%,8%
Toronto Danforth,2022-05-21,13%,27%,49%,8%
Toronto Danforth,2022-05-21,13%,26%,51%,8%
Toronto Danforth,2022-05-22,13%,26%,51%,8%
Toronto Danforth,2022-05-22,13%,25%,51%,8%
Toronto Danforth,2022-05-23,14%,25%,50%,8%
Toronto Danforth,2022-05-23,14%,25%,50%,8%
Parry Sound Muskoka,2022-05-01,44%,9%,6%,39%
Parry Sound Muskoka,2022-09-01,46%,15%,12%,20%
Parry Sound Muskoka,2023-01-01,45%,15%,15%,20%
Parry Sound Muskoka,2023-05-01,45%,15%,15%,20%
Parry Sound Muskoka,2023-09-01,45%,15%,15%,20%
Parry Sound Muskoka,2024-01-01,45%,15%,15%,20%
Parry Sound Muskoka,2024-05-01,45%,15%,15%,20%
Parry Sound Muskoka,2024-09-01,44%,15%,15%,20%
Parry Sound Muskoka,2025-01-01,44%,15%,15%,20%
Parry Sound Muskoka,2025-05-01,44%,16%,15%,20%
Parry Sound Muskoka,2022-04-30,45%,15%,15%,20%
Parry Sound Muskoka,2022-04-30,45%,15%,15%,20%
Parry Sound Muskoka,2022-05-03,45%,15%,15%,20%
Parry Sound Muskoka,2022-05-03,46%,0%,24%,24%
Parry Sound Muskoka,2022-05-04,47%,0%,24%,23%
Parry Sound Muskoka,2022-05-04,46%,0%,24%,23%
Parry Sound Muskoka,2022-05-05,45%,0%,20%,29%
Parry Sound Muskoka,2022-05-05,44%,0%,20%,29%
Parry Sound Muskoka,2022-05-06,41%,0%,19%,33%
Parry Sound Muskoka,2022-05-06,40%,0%,19%,34%
Parry Sound Muskoka,2022-05-07,38%,0%,18%,37%
Parry Sound Muskoka,2022-05-07,39%,0%,18%,37%
Parry Sound Muskoka,2022-05-08,40%,0%,18%,36%
Parry Sound Muskoka,2022-05-08,40%,0%,18%,36%
Parry Sound Muskoka,2022-05-09,38%,0%,15%,39%
Parry Sound Muskoka,2022-05-09,38%,0%,14%,39%
Parry Sound Muskoka,2022-05-10,38%,0%,15%,38%
Parry Sound Muskoka,2022-05-10,39%,0%,14%,38%
Parry Sound Muskoka,2022-05-11,39%,0%,14%,38%
Parry Sound Muskoka,2022-05-11,40%,0%,14%,38%
Parry Sound Muskoka,2022-05-12,40%,0%,14%,38%
Parry Sound Muskoka,2022-05-12,43%,0%,12%,39%
Parry Sound Muskoka,2022-05-13,45%,0%,8%,41%
Parry Sound Muskoka,2022-05-13,45%,0%,8%,41%
Parry Sound Muskoka,2022-05-14,43%,0%,7%,44%
Parry Sound Muskoka,2022-05-14,43%,6%,7%,40%
Parry Sound Muskoka,2022-05-15,44%,6%,7%,40%
Parry Sound Muskoka,2022-05-15,44%,6%,7%,40%
Parry Sound Muskoka,2022-05-16,40%,6%,8%,43%
Parry Sound Muskoka,2022-05-16,41%,6%,8%,41%
Parry Sound Muskoka,2022-05-17,42%,6%,8%,40%
Parry Sound Muskoka,2022-05-17,43%,6%,8%,40%
Parry Sound Muskoka,2022-05-18,41%,6%,8%,41%
Parry Sound Muskoka,2022-05-18,43%,6%,8%,39%
Parry Sound Muskoka,2022-05-19,45%,6%,6%,42%
Parry Sound Muskoka,2022-05-19,45%,6%,6%,41%
Parry Sound Muskoka,2022-05-20,45%,6%,6%,40%
Parry Sound Muskoka,2022-05-20,40%,12%,5%,42%
Parry Sound Muskoka,2022-05-21,41%,10%,6%,41%
Parry Sound Muskoka,2022-05-21,42%,10%,6%,40%
Parry Sound Muskoka,2022-05-22,43%,9%,6%,40%
Parry Sound Muskoka,2022-05-22,43%,9%,6%,40%
Parry Sound Muskoka,2022-05-23,45%,9%,5%,39%
Parry Sound Muskoka,2022-05-23,44%,9%,6%,39%
Don Valley North,2022-05-01,47%,38%,9%,5%
Don Valley North,2022-09-01,40%,39%,14%,2%
Don Valley North,2023-01-01,40%,39%,15%,2%
Don Valley North,2023-05-01,40%,39%,14%,2%
Don Valley North,2023-09-01,40%,39%,14%,2%
Don Valley North,2024-01-01,40%,39%,14%,2%
Don Valley North,2024-05-01,40%,39%,14%,2%
Don Valley North,2024-09-01,39%,40%,14%,2%
Don Valley North,2025-01-01,39%,40%,14%,2%
Don Valley North,2025-05-01,39%,41%,14%,2%
Don Valley North,2022-04-30,40%,39%,14%,2%
Don Valley North,2022-04-30,40%,39%,14%,2%
Don Valley North,2022-05-03,41%,39%,14%,2%
Don Valley North,2022-05-03,42%,40%,14%,2%
Don Valley North,2022-05-04,42%,39%,14%,2%
Don Valley North,2022-05-04,41%,40%,14%,2%
Don Valley North,2022-05-05,41%,42%,13%,2%
Don Valley North,2022-05-05,41%,41%,13%,2%
Don Valley North,2022-05-06,41%,41%,13%,3%
Don Valley North,2022-05-06,40%,40%,15%,3%
Don Valley North,2022-05-07,40%,40%,15%,3%
Don Valley North,2022-05-07,40%,40%,15%,3%
Don Valley North,2022-05-08,41%,40%,14%,3%
Don Valley North,2022-05-08,40%,40%,14%,3%
Don Valley North,2022-05-09,40%,40%,14%,3%
Don Valley North,2022-05-09,40%,40%,14%,3%
Don Valley North,2022-05-10,40%,39%,15%,3%
Don Valley North,2022-05-10,41%,39%,14%,3%
Don Valley North,2022-05-11,41%,39%,14%,3%
Don Valley North,2022-05-11,41%,39%,14%,3%
Don Valley North,2022-05-12,41%,39%,14%,3%
Don Valley North,2022-05-12,43%,38%,14%,3%
Don Valley North,2022-05-13,47%,37%,10%,4%
Don Valley North,2022-05-13,47%,37%,10%,4%
Don Valley North,2022-05-14,47%,38%,9%,4%
Don Valley North,2022-05-14,46%,38%,9%,4%
Don Valley North,2022-05-15,46%,38%,9%,4%
Don Valley North,2022-05-15,47%,38%,9%,4%
Don Valley North,2022-05-16,43%,38%,11%,6%
Don Valley North,2022-05-16,43%,38%,11%,5%
Don Valley North,2022-05-17,44%,38%,10%,5%
Don Valley North,2022-05-17,44%,38%,10%,5%
Don Valley North,2022-05-18,42%,40%,11%,5%
Don Valley North,2022-05-18,44%,38%,11%,5%
Don Valley North,2022-05-19,47%,36%,10%,5%
Don Valley North,2022-05-19,45%,39%,10%,5%
Don Valley North,2022-05-20,45%,39%,10%,5%
Don Valley North,2022-05-20,40%,45%,9%,4%
Don Valley North,2022-05-21,43%,42%,8%,5%
Don Valley North,2022-05-21,44%,41%,9%,4%
Don Valley North,2022-05-22,45%,40%,9%,5%
Don Valley North,2022-05-22,46%,38%,9%,5%
Don Valley North,2022-05-23,48%,37%,8%,5%
Don Valley North,2022-05-23,47%,38%,9%,5%
London North Centre,2022-05-01,31%,24%,33%,7%
London North Centre,2022-09-01,32%,26%,30%,6%
London North Centre,2023-01-01,31%,24%,32%,6%
London North Centre,2023-05-01,31%,24%,32%,6%
London North Centre,2023-09-01,31%,24%,32%,6%
London North Centre,2024-01-01,31%,25%,32%,6%
London North Centre,2024-05-01,31%,25%,32%,6%
London North Centre,2024-09-01,31%,25%,32%,6%
London North Centre,2025-01-01,31%,26%,32%,6%
London North Centre,2025-05-01,30%,26%,32%,6%
London North Centre,2022-04-30,31%,25%,32%,6%
London North Centre,2022-04-30,31%,25%,32%,6%
London North Centre,2022-05-03,32%,25%,31%,6%
London North Centre,2022-05-03,31%,25%,31%,6%
London North Centre,2022-05-04,31%,24%,32%,6%
London North Centre,2022-05-04,31%,25%,32%,6%
London North Centre,2022-05-05,31%,24%,32%,6%
London North Centre,2022-05-05,31%,24%,32%,6%
London North Centre,2022-05-06,31%,23%,31%,8%
London North Centre,2022-05-06,30%,23%,32%,8%
London North Centre,2022-05-07,30%,22%,32%,8%
London North Centre,2022-05-07,30%,23%,32%,8%
London North Centre,2022-05-08,30%,22%,32%,8%
London North Centre,2022-05-08,30%,23%,32%,8%
London North Centre,2022-05-09,30%,24%,31%,8%
London North Centre,2022-05-09,30%,23%,31%,8%
London North Centre,2022-05-10,30%,23%,31%,8%
London North Centre,2022-05-10,31%,23%,31%,8%
London North Centre,2022-05-11,31%,23%,31%,8%
London North Centre,2022-05-11,31%,23%,31%,8%
London North Centre,2022-05-12,31%,23%,31%,8%
London North Centre,2022-05-12,31%,23%,31%,8%
London North Centre,2022-05-13,30%,21%,39%,5%
London North Centre,2022-05-13,30%,21%,40%,5%
London North Centre,2022-05-14,30%,22%,37%,6%
London North Centre,2022-05-14,30%,22%,37%,6%
London North Centre,2022-05-15,30%,22%,37%,5%
London North Centre,2022-05-15,30%,21%,38%,5%
London North Centre,2022-05-16,26%,21%,40%,7%
London North Centre,2022-05-16,27%,21%,40%,7%
London North Centre,2022-05-17,27%,21%,39%,7%
London North Centre,2022-05-17,28%,21%,39%,7%
London North Centre,2022-05-18,26%,22%,40%,7%
London North Centre,2022-05-18,27%,21%,40%,6%
London North Centre,2022-05-19,29%,21%,39%,6%
London North Centre,2022-05-19,29%,22%,39%,6%
London North Centre,2022-05-20,29%,23%,38%,6%
London North Centre,2022-05-20,27%,28%,34%,6%
London North Centre,2022-05-21,29%,27%,33%,7%
London North Centre,2022-05-21,29%,26%,34%,6%
London North Centre,2022-05-22,29%,25%,34%,7%
London North Centre,2022-05-22,30%,24%,34%,7%
London North Centre,2022-05-23,32%,24%,32%,7%
London North Centre,2022-05-23,31%,24%,33%,7%
Mississauga Centre,2022-05-01,43%,38%,11%,4%
Mississauga Centre,2022-09-01,40%,39%,14%,2%
Mississauga Centre,2023-01-01,37%,38%,18%,2%
Mississauga Centre,2023-05-01,37%,37%,18%,2%
Mississauga Centre,2023-09-01,38%,37%,18%,2%
Mississauga Centre,2024-01-01,38%,37%,18%,2%
Mississauga Centre,2024-05-01,37%,37%,19%,2%
Mississauga Centre,2024-09-01,37%,38%,18%,2%
Mississauga Centre,2025-01-01,37%,38%,18%,2%
Mississauga Centre,2025-05-01,38%,38%,18%,2%
Mississauga Centre,2022-04-30,39%,36%,18%,2%
Mississauga Centre,2022-04-30,39%,36%,18%,2%
Mississauga Centre,2022-05-03,39%,36%,17%,2%
Mississauga Centre,2022-05-03,39%,36%,17%,2%
Mississauga Centre,2022-05-04,39%,35%,19%,2%
Mississauga Centre,2022-05-04,38%,36%,19%,2%
Mississauga Centre,2022-05-05,39%,36%,18%,2%
Mississauga Centre,2022-05-05,39%,36%,18%,2%
Mississauga Centre,2022-05-06,39%,35%,18%,3%
Mississauga Centre,2022-05-06,38%,35%,19%,3%
Mississauga Centre,2022-05-07,38%,35%,19%,3%
Mississauga Centre,2022-05-07,38%,35%,19%,3%
Mississauga Centre,2022-05-08,38%,35%,19%,3%
Mississauga Centre,2022-05-08,38%,35%,19%,3%
Mississauga Centre,2022-05-09,38%,34%,18%,3%
Mississauga Centre,2022-05-09,38%,34%,18%,3%
Mississauga Centre,2022-05-10,38%,34%,19%,3%
Mississauga Centre,2022-05-10,39%,34%,18%,3%
Mississauga Centre,2022-05-11,39%,34%,18%,3%
Mississauga Centre,2022-05-11,39%,34%,18%,3%
Mississauga Centre,2022-05-12,37%,36%,18%,3%
Mississauga Centre,2022-05-12,39%,34%,18%,3%
Mississauga Centre,2022-05-13,44%,36%,12%,4%
Mississauga Centre,2022-05-13,43%,36%,13%,4%
Mississauga Centre,2022-05-14,43%,37%,11%,4%
Mississauga Centre,2022-05-14,42%,38%,11%,4%
Mississauga Centre,2022-05-15,42%,38%,11%,4%
Mississauga Centre,2022-05-15,43%,37%,12%,4%
Mississauga Centre,2022-05-16,39%,38%,13%,5%
Mississauga Centre,2022-05-16,39%,38%,13%,5%
Mississauga Centre,2022-05-17,40%,38%,13%,5%
Mississauga Centre,2022-05-17,41%,37%,13%,5%
Mississauga Centre,2022-05-18,38%,39%,13%,5%
Mississauga Centre,2022-05-18,40%,37%,13%,5%
Mississauga Centre,2022-05-19,43%,36%,13%,5%
Mississauga Centre,2022-05-19,38%,41%,12%,5%
Mississauga Centre,2022-05-20,38%,42%,12%,4%
Mississauga Centre,2022-05-20,36%,44%,12%,4%
Mississauga Centre,2022-05-21,40%,41%,11%,4%
Mississauga Centre,2022-05-21,40%,40%,12%,4%
Mississauga Centre,2022-05-22,41%,39%,11%,4%
Mississauga Centre,2022-05-22,42%,38%,12%,4%
Mississauga Centre,2022-05-23,44%,37%,11%,4%
Mississauga Centre,2022-05-23,43%,38%,11%,4%
Kitchener Centre,2022-05-01,25%,10%,18%,45%
Kitchener Centre,2022-09-01,28%,32%,26%,8%
Kitchener Centre,2023-01-01,27%,29%,30%,8%
Kitchener Centre,2023-05-01,27%,29%,30%,8%
Kitchener Centre,2023-09-01,27%,29%,29%,8%
Kitchener Centre,2024-01-01,27%,30%,29%,8%
Kitchener Centre,2024-05-01,27%,30%,29%,8%
Kitchener Centre,2024-09-01,27%,30%,30%,8%
Kitchener Centre,2025-01-01,27%,31%,29%,8%
Kitchener Centre,2025-05-01,27%,30%,29%,8%
Kitchener Centre,2022-04-30,28%,29%,29%,8%
Kitchener Centre,2022-04-30,28%,29%,29%,8%
Kitchener Centre,2022-05-03,28%,29%,29%,8%
Kitchener Centre,2022-05-03,29%,30%,30%,8%
Kitchener Centre,2022-05-04,29%,30%,30%,8%
Kitchener Centre,2022-05-04,29%,31%,30%,8%
Kitchener Centre,2022-05-05,29%,30%,30%,9%
Kitchener Centre,2022-05-05,29%,29%,30%,9%
Kitchener Centre,2022-05-06,29%,28%,29%,11%
Kitchener Centre,2022-05-06,28%,28%,29%,12%
Kitchener Centre,2022-05-07,28%,28%,30%,12%
Kitchener Centre,2022-05-07,28%,28%,30%,12%
Kitchener Centre,2022-05-08,28%,28%,29%,12%
Kitchener Centre,2022-05-08,28%,28%,29%,12%
Kitchener Centre,2022-05-09,28%,28%,29%,12%
Kitchener Centre,2022-05-09,28%,28%,29%,12%
Kitchener Centre,2022-05-10,29%,25%,30%,12%
Kitchener Centre,2022-05-10,30%,25%,30%,12%
Kitchener Centre,2022-05-11,30%,25%,30%,12%
Kitchener Centre,2022-05-11,30%,25%,30%,12%
Kitchener Centre,2022-05-12,30%,25%,30%,12%
Kitchener Centre,2022-05-12,30%,25%,30%,12%
Kitchener Centre,2022-05-13,27%,15%,41%,13%
Kitchener Centre,2022-05-13,26%,15%,41%,13%
Kitchener Centre,2022-05-14,26%,15%,38%,15%
Kitchener Centre,2022-05-14,26%,16%,38%,15%
Kitchener Centre,2022-05-15,26%,16%,38%,14%
Kitchener Centre,2022-05-15,26%,15%,39%,14%
Kitchener Centre,2022-05-16,23%,15%,40%,17%
Kitchener Centre,2022-05-16,23%,15%,41%,16%
Kitchener Centre,2022-05-17,24%,15%,40%,15%
Kitchener Centre,2022-05-17,24%,15%,40%,15%
Kitchener Centre,2022-05-18,23%,16%,41%,15%
Kitchener Centre,2022-05-18,24%,15%,41%,15%
Kitchener Centre,2022-05-19,17%,10%,25%,47%
Kitchener Centre,2022-05-19,17%,11%,24%,47%
Kitchener Centre,2022-05-20,17%,11%,24%,46%
Kitchener Centre,2022-05-20,16%,13%,22%,48%
Kitchener Centre,2022-05-21,23%,12%,19%,45%
Kitchener Centre,2022-05-21,23%,11%,20%,44%
Kitchener Centre,2022-05-22,25%,11%,19%,44%
Kitchener Centre,2022-05-22,25%,10%,19%,44%
Kitchener Centre,2022-05-23,26%,10%,18%,44%
Kitchener Centre,2022-05-23,25%,10%,18%,45%
Etobicoke Lakeshore,2022-05-01,37%,38%,16%,6%
Etobicoke Lakeshore,2022-09-01,34%,34%,23%,4%
Etobicoke Lakeshore,2023-01-01,34%,34%,23%,4%
Etobicoke Lakeshore,2023-05-01,34%,34%,24%,4%
Etobicoke Lakeshore,2023-09-01,34%,34%,24%,4%
Etobicoke Lakeshore,2024-01-01,34%,34%,24%,4%
Etobicoke Lakeshore,2024-05-01,34%,34%,24%,4%
Etobicoke Lakeshore,2024-09-01,33%,34%,24%,4%
Etobicoke Lakeshore,2025-01-01,33%,34%,24%,4%
Etobicoke Lakeshore,2025-05-01,33%,35%,24%,4%
Etobicoke Lakeshore,2022-04-30,34%,34%,24%,4%
Etobicoke Lakeshore,2022-04-30,34%,34%,24%,4%
Etobicoke Lakeshore,2022-05-03,35%,34%,23%,4%
Etobicoke Lakeshore,2022-05-03,35%,34%,24%,4%
Etobicoke Lakeshore,2022-05-04,35%,33%,24%,4%
Etobicoke Lakeshore,2022-05-04,34%,34%,24%,4%
Etobicoke Lakeshore,2022-05-05,35%,35%,22%,4%
