District,Date,LPC,CPC,NDP,GPC
Miramichi Grand Lake,2025-05-01,27%,60%,7%,4%
Miramichi Grand Lake,2025-07-01,27%,59%,8%,4%
Miramichi Grand Lake,2025-09-01,26%,58%,8%,4%
Miramichi Grand Lake,2025-11-01,28%,56%,8%,4%
Miramichi Grand Lake,2024-05-12,29%,55%,8%,4%
Miramichi Grand Lake,2024-05-12,30%,54%,8%,5%
Miramichi Grand Lake,2024-05-19,30%,54%,8%,5%
Miramichi Grand Lake,2024-05-19,29%,55%,8%,5%
Miramichi Grand Lake,2024-05-26,28%,56%,8%,5%
Miramichi Grand Lake,2024-05-26,28%,57%,7%,5%
Miramichi Grand Lake,2024-06-02,27%,57%,7%,5%
Miramichi Grand Lake,2024-06-02,27%,58%,7%,5%
Miramichi Grand Lake,2024-06-09,26%,58%,7%,5%
Miramichi Grand Lake,2024-06-09,26%,59%,6%,5%
Miramichi Grand Lake,2024-06-16,26%,59%,6%,5%
Miramichi Grand Lake,2024-06-16,25%,59%,7%,5%
Miramichi Grand Lake,2024-06-23,26%,59%,7%,5%
Miramichi Grand Lake,2024-06-23,26%,59%,7%,5%
Miramichi Grand Lake,2024-06-30,26%,58%,7%,5%
Miramichi Grand Lake,2024-06-30,26%,58%,7%,5%
Miramichi Grand Lake,2024-07-07,26%,58%,8%,6%
Miramichi Grand Lake,2024-07-07,27%,57%,8%,5%
Moncton Dieppe,2024-05-01,41%,34%,17%,5%
Moncton Dieppe,2024-07-01,40%,36%,16%,5%
Moncton Dieppe,2024-09-01,40%,37%,16%,5%
Moncton Dieppe,2024-11-01,40%,36%,17%,5%
Moncton Dieppe,2025-01-01,40%,36%,17%,5%
Moncton Dieppe,2025-03-01,41%,35%,17%,4%
Moncton Dieppe,2025-05-01,41%,34%,17%,4%
Moncton Dieppe,2025-07-01,41%,33%,18%,4%
Moncton Dieppe,2025-09-01,41%,33%,19%,4%
Moncton Dieppe,2025-11-01,42%,31%,18%,4%
Moncton Dieppe,2024-05-12,44%,30%,18%,4%
Moncton Dieppe,2024-05-12,45%,29%,18%,4%
Moncton Dieppe,2024-05-19,44%,29%,18%,4%
Moncton Dieppe,2024-05-19,43%,30%,18%,4%
Moncton Dieppe,2024-05-26,43%,31%,18%,4%
Moncton Dieppe,2024-05-26,42%,32%,18%,4%
Moncton Dieppe,2024-06-02,41%,33%,17%,4%
Moncton Dieppe,2024-06-02,41%,34%,16%,5%
Moncton Dieppe,2024-06-09,40%,34%,16%,5%
Moncton Dieppe,2024-06-09,40%,35%,16%,5%
Moncton Dieppe,2024-06-16,40%,36%,16%,5%
Moncton Dieppe,2024-06-16,39%,36%,16%,5%
Moncton Dieppe,2024-06-23,40%,35%,16%,5%
Moncton Dieppe,2024-06-23,39%,35%,17%,5%
Moncton Dieppe,2024-06-30,39%,35%,17%,5%
Moncton Dieppe,2024-06-30,39%,35%,17%,5%
Moncton Dieppe,2024-07-07,40%,34%,17%,5%
Moncton Dieppe,2024-07-07,41%,34%,17%,5%
Saint John Kennebecasis,2024-05-01,31%,50%,12%,3%
Saint John Kennebecasis,2024-07-01,31%,53%,11%,3%
Saint John Kennebecasis,2024-09-01,30%,54%,11%,3%
Saint John Kennebecasis,2024-11-01,30%,53%,11%,3%
Saint John Kennebecasis,2025-01-01,30%,53%,12%,3%
Saint John Kennebecasis,2025-03-01,31%,52%,12%,3%
Saint John Kennebecasis,2025-05-01,32%,51%,12%,3%
Saint John Kennebecasis,2025-07-01,32%,50%,13%,3%
Saint John Kennebecasis,2025-09-01,31%,49%,13%,3%
Saint John Kennebecasis,2025-11-01,33%,47%,13%,3%
Saint John Kennebecasis,2024-05-12,34%,46%,13%,3%
Saint John Kennebecasis,2024-05-12,35%,45%,13%,3%
Saint John Kennebecasis,2024-05-19,35%,45%,13%,3%
Saint John Kennebecasis,2024-05-19,34%,47%,13%,3%
Saint John Kennebecasis,2024-05-26,33%,47%,13%,3%
Saint John Kennebecasis,2024-05-26,33%,48%,13%,3%
Saint John Kennebecasis,2024-06-02,32%,50%,12%,3%
Saint John Kennebecasis,2024-06-02,31%,51%,12%,3%
Saint John Kennebecasis,2024-06-09,31%,51%,12%,3%
Saint John Kennebecasis,2024-06-09,30%,52%,11%,3%
Saint John Kennebecasis,2024-06-16,30%,53%,11%,3%
Saint John Kennebecasis,2024-06-16,30%,53%,11%,3%
Saint John Kennebecasis,2024-06-23,30%,52%,12%,3%
Saint John Kennebecasis,2024-06-23,30%,52%,12%,3%
Saint John Kennebecasis,2024-06-30,30%,51%,12%,3%
Saint John Kennebecasis,2024-06-30,30%,51%,12%,4%
Saint John Kennebecasis,2024-07-07,30%,51%,12%,4%
Saint John Kennebecasis,2024-07-07,31%,50%,12%,3%
Saint John St. Croix,2024-05-01,21%,58%,12%,5%
Saint John St. Croix,2024-07-01,19%,63%,11%,4%
Saint John St. Croix,2024-09-01,19%,64%,10%,4%
Saint John St. Croix,2024-11-01,19%,63%,11%,4%
Saint John St. Croix,2025-01-01,19%,63%,11%,4%
Saint John St. Croix,2025-03-01,20%,62%,11%,4%
Saint John St. Croix,2025-05-01,20%,61%,12%,4%
Saint John St. Croix,2025-07-01,20%,60%,13%,4%
Saint John St. Croix,2025-09-01,20%,59%,13%,4%
Saint John St. Croix,2025-11-01,21%,57%,13%,4%
Saint John St. Croix,2024-05-12,22%,56%,13%,4%
Saint John St. Croix,2024-05-12,23%,55%,13%,4%
Saint John St. Croix,2024-05-19,23%,55%,13%,4%
Saint John St. Croix,2024-05-19,22%,56%,13%,4%
Saint John St. Croix,2024-05-26,21%,57%,13%,4%
Saint John St. Croix,2024-05-26,21%,57%,13%,4%
Saint John St. Croix,2024-06-02,21%,58%,12%,4%
Saint John St. Croix,2024-06-02,20%,59%,12%,4%
Saint John St. Croix,2024-06-09,20%,59%,12%,4%
Saint John St. Croix,2024-06-09,20%,60%,11%,4%
Saint John St. Croix,2024-06-16,20%,60%,11%,4%
Saint John St. Croix,2024-06-16,19%,60%,11%,5%
Saint John St. Croix,2024-06-23,20%,60%,12%,5%
Saint John St. Croix,2024-06-23,20%,60%,12%,5%
Saint John St. Croix,2024-06-30,20%,59%,12%,5%
Saint John St. Croix,2024-06-30,20%,59%,12%,5%
Saint John St. Croix,2024-07-07,20%,59%,12%,5%
Saint John St. Croix,2024-07-07,21%,58%,12%,5%
Abitibi Baie-James Nunavik Eeyou,2024-05-01,16%,22%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2024-07-01,16%,24%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2024-09-01,16%,23%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2024-11-01,16%,23%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2025-01-01,17%,24%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2025-03-01,17%,25%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2025-05-01,17%,25%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2025-07-01,16%,24%,15%,4%
Abitibi Baie-James Nunavik Eeyou,2025-09-01,15%,24%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2025-11-01,15%,24%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2024-05-12,16%,23%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2024-05-12,16%,23%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2024-05-19,16%,23%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2024-05-19,17%,23%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2024-05-26,17%,23%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2024-05-26,16%,24%,15%,4%
Abitibi Baie-James Nunavik Eeyou,2024-06-02,17%,23%,14%,4%
Abitibi Baie-James Nunavik Eeyou,2024-06-02,18%,23%,15%,4%
Abitibi Baie-James Nunavik Eeyou,2024-06-09,17%,22%,15%,4%
Abitibi Baie-James Nunavik Eeyou,2024-06-09,17%,22%,15%,5%
Abitibi Baie-James Nunavik Eeyou,2024-06-16,17%,22%,15%,4%
Abitibi Baie-James Nunavik Eeyou,2024-06-16,16%,22%,15%,5%
Abitibi Baie-James Nunavik Eeyou,2024-06-23,16%,22%,16%,4%
Abitibi Baie-James Nunavik Eeyou,2024-06-23,16%,22%,16%,4%
Abitibi Baie-James Nunavik Eeyou,2024-06-30,16%,21%,15%,4%
Abitibi Baie-James Nunavik Eeyou,2024-06-30,16%,21%,15%,4%
Abitibi Baie-James Nunavik Eeyou,2024-07-07,16%,21%,15%,4%
Abitibi Baie-James Nunavik Eeyou,2024-07-07,16%,22%,14%,4%
Abitibi Témiscamingue,2024-05-01,15%,18%,8%,4%
Abitibi Témiscamingue,2024-07-01,15%,20%,7%,4%
Abitibi Témiscamingue,2024-09-01,14%,19%,7%,4%
Abitibi Témiscamingue,2024-11-01,15%,19%,7%,4%
Abitibi Témiscamingue,2025-01-01,16%,20%,7%,5%
Abitibi Témiscamingue,2025-03-01,16%,21%,8%,5%
Abitibi Témiscamingue,2025-05-01,16%,21%,8%,5%
Abitibi Témiscamingue,2025-07-01,15%,20%,8%,4%
Abitibi Témiscamingue,2025-09-01,14%,20%,8%,4%
Abitibi Témiscamingue,2025-11-01,14%,19%,8%,4%
Abitibi Témiscamingue,2024-05-12,15%,19%,8%,4%
Abitibi Témiscamingue,2024-05-12,15%,19%,8%,4%
Abitibi Témiscamingue,2024-05-19,15%,19%,8%,4%
Abitibi Témiscamingue,2024-05-19,16%,19%,8%,4%
Abitibi Témiscamingue,2024-05-26,16%,19%,8%,4%
Abitibi Témiscamingue,2024-05-26,15%,20%,8%,4%
Abitibi Témiscamingue,2024-06-02,16%,19%,8%,4%
Abitibi Témiscamingue,2024-06-02,17%,19%,8%,5%
Abitibi Témiscamingue,2024-06-09,16%,19%,8%,5%
Abitibi Témiscamingue,2024-06-09,15%,19%,8%,5%
Abitibi Témiscamingue,2024-06-16,15%,19%,8%,5%
Abitibi Témiscamingue,2024-06-16,15%,19%,9%,5%
Abitibi Témiscamingue,2024-06-23,14%,18%,9%,5%
Abitibi Témiscamingue,2024-06-23,15%,18%,9%,5%
Abitibi Témiscamingue,2024-06-30,15%,18%,9%,5%
Abitibi Témiscamingue,2024-06-30,15%,17%,8%,5%
Abitibi Témiscamingue,2024-07-07,15%,17%,8%,5%
Abitibi Témiscamingue,2024-07-07,15%,18%,8%,4%
Ahuntsic-Cartierville,2024-05-01,35%,15%,13%,5%
Ahuntsic-Cartierville,2024-07-01,48%,11%,11%,5%
Ahuntsic-Cartierville,2024-09-01,47%,11%,11%,5%
Ahuntsic-Cartierville,2024-11-01,48%,10%,11%,5%
Ahuntsic-Cartierville,2025-01-01,49%,11%,11%,5%
Ahuntsic-Cartierville,2025-03-01,46%,14%,11%,5%
Ahuntsic-Cartierville,2025-05-01,47%,14%,11%,5%
Ahuntsic-Cartierville,2025-07-01,42%,16%,12%,5%
Ahuntsic-Cartierville,2025-09-01,41%,16%,12%,5%
Ahuntsic-Cartierville,2025-11-01,41%,16%,12%,5%
Ahuntsic-Cartierville,2024-05-12,42%,16%,12%,5%
Ahuntsic-Cartierville,2024-05-12,42%,16%,12%,5%
Ahuntsic-Cartierville,2024-05-19,42%,16%,12%,5%
Ahuntsic-Cartierville,2024-05-19,43%,15%,12%,5%
Ahuntsic-Cartierville,2024-05-26,44%,15%,12%,5%
Ahuntsic-Cartierville,2024-05-26,42%,16%,12%,5%
Ahuntsic-Cartierville,2024-06-02,43%,16%,12%,5%
Ahuntsic-Cartierville,2024-06-02,45%,16%,12%,5%
Ahuntsic-Cartierville,2024-06-09,44%,15%,12%,5%
Ahuntsic-Cartierville,2024-06-09,43%,15%,12%,6%
Ahuntsic-Cartierville,2024-06-16,36%,16%,13%,6%
Ahuntsic-Cartierville,2024-06-16,34%,16%,14%,6%
Ahuntsic-Cartierville,2024-06-23,34%,16%,14%,5%
Ahuntsic-Cartierville,2024-06-23,34%,16%,14%,5%
Ahuntsic-Cartierville,2024-06-30,35%,15%,14%,5%
Ahuntsic-Cartierville,2024-06-30,35%,15%,14%,5%
Ahuntsic-Cartierville,2024-07-07,35%,15%,13%,5%
Ahuntsic-Cartierville,2024-07-07,35%,15%,13%,5%
Beauport Limoilou,2024-05-01,16%,33%,10%,4%
Beauport Limoilou,2024-07-01,16%,37%,9%,4%
Beauport Limoilou,2024-09-01,15%,35%,9%,4%
Beauport Limoilou,2024-11-01,16%,34%,9%,4%
Beauport Limoilou,2025-01-01,16%,37%,9%,4%
Beauport Limoilou,2025-03-01,17%,37%,9%,4%
Beauport Limoilou,2025-05-01,17%,38%,9%,4%
Beauport Limoilou,2025-07-01,16%,37%,10%,4%
Beauport Limoilou,2025-09-01,15%,36%,10%,3%
Beauport Limoilou,2025-11-01,15%,36%,10%,4%
Beauport Limoilou,2024-05-12,15%,36%,10%,4%
Beauport Limoilou,2024-05-12,15%,35%,9%,4%
Beauport Limoilou,2024-05-19,15%,35%,9%,3%
Beauport Limoilou,2024-05-19,16%,35%,10%,3%
Beauport Limoilou,2024-05-26,16%,35%,10%,3%
Beauport Limoilou,2024-05-26,16%,35%,10%,3%
Beauport Limoilou,2024-06-02,17%,35%,10%,4%
Beauport Limoilou,2024-06-02,17%,35%,10%,4%
Beauport Limoilou,2024-06-09,17%,34%,10%,4%
Beauport Limoilou,2024-06-09,16%,34%,10%,4%
Beauport Limoilou,2024-06-16,16%,34%,10%,4%
Beauport Limoilou,2024-06-16,16%,34%,11%,4%
Beauport Limoilou,2024-06-23,15%,34%,11%,4%
Beauport Limoilou,2024-06-23,16%,33%,11%,4%
